CountyFIPS,Year,DiseaseID,Disease_AdjPrev
8019,2022,2,10.7
8029,2019,1,6.6
8029,2019,2,10.2
8029,2020,1,7.2
8029,2020,2,10.7
8029,2021,1,7.1
8029,2021,2,11.1
8031,2019,1,4.2
8031,2019,2,9.0
8031,2020,1,4.6
8031,2020,2,10.0
8031,2021,1,4.6
8031,2021,2,9.6
8031,2022,1,4.4
8031,2022,2,10.2
8035,2019,1,3.4
8035,2019,2,8.5
8035,2020,1,3.7
8035,2020,2,9.0
8035,2021,1,3.7
8035,2021,2,9.2
8035,2022,1,3.6
8035,2022,2,10.4
8041,2019,1,4.7
8041,2019,2,10.1
8041,2020,1,5.2
8041,2020,2,10.0
8041,2021,1,5.2
8041,2021,2,10.3
8041,2022,1,5.0
8041,2022,2,11.6
8045,2019,1,4.9
8045,2019,2,8.8
8045,2020,1,5.4
8045,2020,2,9.7
8045,2021,1,5.3
8045,2021,2,10.2
8045,2022,1,5.3
8045,2022,2,10.7
8047,2020,1,4.4
8047,2020,2,9.5
8047,2021,1,4.7
8047,2021,2,10.0
8047,2022,1,4.8
8047,2022,2,10.9
8051,2019,1,4.7
8051,2019,2,9.2
8051,2020,1,4.9
8051,2020,2,9.6
8051,2021,1,4.9
8051,2021,2,10.0
8051,2022,1,4.6
8051,2022,2,10.7
8057,2022,1,7.7
8057,2022,2,11.7
8059,2019,1,4.1
8059,2019,2,9.7
8059,2020,1,4.4
8059,2020,2,9.2
8059,2021,1,4.7
8059,2021,2,9.8
8059,2022,1,4.4
8059,2022,2,11.3
8067,2019,1,4.5
8067,2019,2,9.3
8067,2020,1,5.0
8067,2020,2,9.9
8067,2021,1,5.1
8067,2021,2,10.2
8067,2022,1,5.2
8067,2022,2,11.2
8069,2019,1,4.5
8069,2019,2,9.1
8069,2020,1,4.9
8069,2020,2,9.7
8069,2021,1,4.9
8069,2021,2,10.1
8069,2022,1,4.8
8069,2022,2,11.2
8077,2019,1,5.6
8077,2019,2,9.6
8077,2020,1,6.2
8077,2020,2,10.3
8077,2021,1,6.2
8077,2021,2,11.1
8077,2022,1,5.8
8077,2022,2,11.5
8083,2019,1,6.1
